Table_Number,Table_name,Table_sub_name,Breakdown,Section,Units,Value,Time_Period
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income,Financial performance,Thousand Dollars,730031,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,396127,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,403902,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,331065,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,314449,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Sales of goods and services,Financial performance,Thousand Dollars,325806,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,15720,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,15569,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,26526,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,15028,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,"Interest, dividends and donations",Financial performance,Thousand Dollars,15032,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,227712,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,157041,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,109167,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,78761,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating income,Financial performance,Thousand Dollars,389193,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,284205,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,299606,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,251164,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,271558,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total expenditure,Financial performance,Thousand Dollars,238497,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,25728,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,30898,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,37524,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,29666,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Interest and donations,Financial performance,Thousand Dollars,28279,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,5382,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,6137,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,6655,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,7214,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Indirect taxes,Financial performance,Thousand Dollars,7989,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,4780,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,6501,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,5959,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,8762,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Depreciation,Financial performance,Thousand Dollars,9541,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,30372,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,30750,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,33937,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,35406,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Salaries and wages paid,Financial performance,Thousand Dollars,35132,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,212594,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,217619,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,151220,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,157439,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Purchases and operating expenses,Financial performance,Thousand Dollars,136895,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,5348,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,7700,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,15868,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,33071,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Non-operating expenses,Financial performance,Thousand Dollars,20661,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,336960,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,269552,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,221236,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,145446,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus before income tax,Financial performance,Thousand Dollars,478534,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,5034167,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,5757019,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,5937260,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,5961997,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total assets,Financial position,Thousand Dollars,6424294,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,285816,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,380308,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,312688,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,343882,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current assets,Financial position,Thousand Dollars,347810,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,3592067,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,3567909,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,3603148,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,3824808,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Fixed tangible assets,Financial position,Thousand Dollars,4212228,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1156284,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1808802,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,2021423,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1793306,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other assets,Financial position,Thousand Dollars,1864257,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,5034167,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,5757019,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,5937260,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,5961997,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total equity and liabilities,Financial position,Thousand Dollars,6424293,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,3945088,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,4541533,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,4510855,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,4515509,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Shareholders funds or owners equity,Financial position,Thousand Dollars,4916459,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,382307,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,322279,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,353984,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,234558,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current liabilities,Financial position,Thousand Dollars,240933,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,706772,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,893207,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1072420,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1211930,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Other liabilities,Financial position,Thousand Dollars,1266902,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,2401361,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1930770,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1553144,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,1542567,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Total income per employee count,Financial ratios,Dollars,2202271,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,1265189,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,902743,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,736165,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,549584,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Surplus per employee count,Financial ratios,Dollars,1443584,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,74.8,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,118,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,88.3,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,146.6,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Current ratio,Financial ratios,Percent,144.4,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,8.5,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,5.9,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,4.9,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,3.2,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on equity,Financial ratios,Percent,9.7,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,6.7,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,4.7,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,3.7,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,2.4,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Return on total assets,Financial ratios,Percent,7.4,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,78.4,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,78.9,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,76,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,75.7,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Liabilities structure,Financial ratios,Percent,76.5,2021
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,27.6,2017
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,26.8,2018
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,31.6,2019
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,32,2020
Table 7,Financials - Maori authorities: Non-residential property operators,ANZSIC06 class L6712,Debt to equity ratio,Financial ratios,Percent,30.7,2021
Table 8,Worker turnover rates,By business type,March quarter,Maori authorities,Ratio,19.3,2017
Table 8,Worker turnover rates,By business type,June quarter,Maori authorities,Ratio,16.8,2017
Table 8,Worker turnover rates,By business type,September quarter,Maori authorities,Ratio,15.2,2017
Table 8,Worker turnover rates,By business type,December quarter,Maori authorities,Ratio,16.7,2017
Table 8,Worker turnover rates,By business type,March quarter,Maori authorities,Ratio,21.7,2018
Table 8,Worker turnover rates,By business type,June quarter,Maori authorities,Ratio,21.6,2018
Table 8,Worker turnover rates,By business type,September quarter,Maori authorities,Ratio,18.9,2018
Table 8,Worker turnover rates,By business type,December quarter,Maori authorities,Ratio,16,2018
Table 8,Worker turnover rates,By business type,March quarter,Maori authorities,Ratio,18.6,2019
Table 8,Worker turnover rates,By business type,June quarter,Maori authorities,Ratio,14.7,2019
Table 8,Worker turnover rates,By business type,September quarter,Maori authorities,Ratio,15.3,2019
Table 8,Worker turnover rates,By business type,December quarter,Maori authorities,Ratio,16.5,2019
Table 8,Worker turnover rates,By business type,March quarter,Maori authorities,Ratio,15.2,2020
Table 8,Worker turnover rates,By business type,June quarter,Maori authorities,Ratio,13.4,2020
Table 8,Worker turnover rates,By business type,September quarter,Maori authorities,Ratio,14.8,2020
Table 8,Worker turnover rates,By business type,December quarter,Maori authorities,Ratio,15.9,2020
Table 8,Worker turnover rates,By business type,March quarter,Maori authorities,Ratio,15.3,2021
Table 8,Worker turnover rates,By business type,March quarter,All New Zealand businesses,Ratio,16.6,2017
Table 8,Worker turnover rates,By business type,June quarter,All New Zealand businesses,Ratio,17.1,2017
Table 8,Worker turnover rates,By business type,September quarter,All New Zealand businesses,Ratio,14.6,2017
Table 8,Worker turnover rates,By business type,December quarter,All New Zealand businesses,Ratio,14.7,2017
Table 8,Worker turnover rates,By business type,March quarter,All New Zealand businesses,Ratio,20.5,2018
Table 8,Worker turnover rates,By business type,June quarter,All New Zealand businesses,Ratio,18.6,2018
Table 8,Worker turnover rates,By business type,September quarter,All New Zealand businesses,Ratio,15.3,2018
Table 8,Worker turnover rates,By business type,December quarter,All New Zealand businesses,Ratio,15,2018
Table 8,Worker turnover rates,By business type,March quarter,All New Zealand businesses,Ratio,16.8,2019
Table 8,Worker turnover rates,By business type,June quarter,All New Zealand businesses,Ratio,16.3,2019
Table 8,Worker turnover rates,By business type,September quarter,All New Zealand businesses,Ratio,14.9,2019
Table 8,Worker turnover rates,By business type,December quarter,All New Zealand businesses,Ratio,14.7,2019
Table 8,Worker turnover rates,By business type,March quarter,All New Zealand businesses,Ratio,16.3,2020
Table 8,Worker turnover rates,By business type,June quarter,All New Zealand businesses,Ratio,13.4,2020
Table 8,Worker turnover rates,By business type,September quarter,All New Zealand businesses,Ratio,12.6,2020
Table 8,Worker turnover rates,By business type,December quarter,All New Zealand businesses,Ratio,13.1,2020
Table 8,Worker turnover rates,By business type,March quarter,All New Zealand businesses,Ratio,14.4,2021
Table 9,Filled jobs,By business type,March quarter,Maori authorities,Filled Jobs,9770,2017
Table 9,Filled jobs,By business type,June quarter,Maori authorities,Filled Jobs,10120,2017
Table 9,Filled jobs,By business type,September quarter,Maori authorities,Filled Jobs,10140,2017
Table 9,Filled jobs,By business type,December quarter,Maori authorities,Filled Jobs,10370,2017
Table 9,Filled jobs,By business type,March quarter,Maori authorities,Filled Jobs,10000,2018
Table 9,Filled jobs,By business type,June quarter,Maori authorities,Filled Jobs,9880,2018
Table 9,Filled jobs,By business type,September quarter,Maori authorities,Filled Jobs,10750,2018
Table 9,Filled jobs,By business type,December quarter,Maori authorities,Filled Jobs,10990,2018
Table 9,Filled jobs,By business type,March quarter,Maori authorities,Filled Jobs,10790,2019
Table 9,Filled jobs,By business type,June quarter,Maori authorities,Filled Jobs,10930,2019
Table 9,Filled jobs,By business type,September quarter,Maori authorities,Filled Jobs,11150,2019
Table 9,Filled jobs,By business type,December quarter,Maori authorities,Filled Jobs,11330,2019
Table 9,Filled jobs,By business type,March quarter,Maori authorities,Filled Jobs,11210,2020
Table 9,Filled jobs,By business type,June quarter,Maori authorities,Filled Jobs,10830,2020
Table 9,Filled jobs,By business type,September quarter,Maori authorities,Filled Jobs,10990,2020
Table 9,Filled jobs,By business type,December quarter,Maori authorities,Filled Jobs,11200,2020
Table 9,Filled jobs,By business type,March quarter,Maori authorities,Filled Jobs,9450,2021
Table 9,Filled jobs,By business type,March quarter,All New Zealand businesses,Filled Jobs,2024320,2017
Table 9,Filled jobs,By business type,June quarter,All New Zealand businesses,Filled Jobs,2077320,2017
Table 9,Filled jobs,By business type,September quarter,All New Zealand businesses,Filled Jobs,2069860,2017
Table 9,Filled jobs,By business type,December quarter,All New Zealand businesses,Filled Jobs,2121340,2017
Table 9,Filled jobs,By business type,March quarter,All New Zealand businesses,Filled Jobs,2099690,2018
Table 9,Filled jobs,By business type,June quarter,All New Zealand businesses,Filled Jobs,2131100,2018
Table 9,Filled jobs,By business type,September quarter,All New Zealand businesses,Filled Jobs,2117480,2018
Table 9,Filled jobs,By business type,December quarter,All New Zealand businesses,Filled Jobs,2165560,2018
Table 9,Filled jobs,By business type,March quarter,All New Zealand businesses,Filled Jobs,2151060,2019
Table 9,Filled jobs,By business type,June quarter,All New Zealand businesses,Filled Jobs,2183800,2019
Table 9,Filled jobs,By business type,September quarter,All New Zealand businesses,Filled Jobs,2169230,2019
Table 9,Filled jobs,By business type,December quarter,All New Zealand businesses,Filled Jobs,2200980,2019
Table 9,Filled jobs,By business type,March quarter,All New Zealand businesses,Filled Jobs,2195380,2020
Table 9,Filled jobs,By business type,June quarter,All New Zealand businesses,Filled Jobs,2188390,2020
Table 9,Filled jobs,By business type,September quarter,All New Zealand businesses,Filled Jobs,2168460,2020
Table 9,Filled jobs,By business type,December quarter,All New Zealand businesses,Filled Jobs,2207840,2020
Table 9,Filled jobs,By business type,March quarter,All New Zealand businesses,Filled Jobs,2179150,2021
Table 10,Goods exports - Maori authorities,By selected country ,People's Republic of China,Maori authorities,Million Dollars,299,2017
Table 10,Goods exports - Maori authorities,By selected country ,People's Republic of China,Maori authorities,Million Dollars,344,2018
Table 10,Goods exports - Maori authorities,By selected country ,People's Republic of China,Maori authorities,Million Dollars,264,2019
Table 10,Goods exports - Maori authorities,By selected country ,People's Republic of China,Maori authorities,Million Dollars,209,2020
Table 10,Goods exports - Maori authorities,By selected country ,People's Republic of China,Maori authorities,Million Dollars,270,2021
Table 10,Goods exports - Maori authorities,By selected country ,People's Republic of China,Maori authorities,Percent of total business type,31,2021
Table 10,Goods exports - Maori authorities,By selected country ,US,Maori authorities,Million Dollars,42,2017
Table 10,Goods exports - Maori authorities,By selected country ,US,Maori authorities,Million Dollars,41,2018
Table 10,Goods exports - Maori authorities,By selected country ,US,Maori authorities,Million Dollars,44,2019
Table 10,Goods exports - Maori authorities,By selected country ,US,Maori authorities,Million Dollars,39,2020
Table 10,Goods exports - Maori authorities,By selected country ,US,Maori authorities,Million Dollars,45,2021
Table 10,Goods exports - Maori authorities,By selected country ,US,Maori authorities,Percent of total business type,5,2021
Table 10,Goods exports - Maori authorities,By selected country ,Other,Maori authorities,Million Dollars,289,2017
Table 10,Goods exports - Maori authorities,By selected country ,Other,Maori authorities,Million Dollars,309,2018
Table 10,Goods exports - Maori authorities,By selected country ,Other,Maori authorities,Million Dollars,372,2019
Table 10,Goods exports - Maori authorities,By selected country ,Other,Maori authorities,Million Dollars,448,2020
Table 10,Goods exports - Maori authorities,By selected country ,Other,Maori authorities,Million Dollars,557,2021
Table 10,Goods exports - Maori authorities,By selected country ,Other,Maori authorities,Percent of total business type,64,2021
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),"Milk powder, butter and cheese",Maori authorities,Million Dollars,168,2017
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),"Milk powder, butter and cheese",Maori authorities,Million Dollars,193,2018
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),"Milk powder, butter and cheese",Maori authorities,Million Dollars,178,2019
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),"Milk powder, butter and cheese",Maori authorities,Million Dollars,153,2020
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),"Milk powder, butter and cheese",Maori authorities,Million Dollars,207,2021
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),"Milk powder, butter and cheese",Maori authorities,Percent of total business type,24,2021
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),All other,Maori authorities,Million Dollars,462,2017
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),All other,Maori authorities,Million Dollars,501,2018
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),All other,Maori authorities,Million Dollars,502,2019
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),All other,Maori authorities,Million Dollars,544,2020
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),All other,Maori authorities,Million Dollars,664,2021
Table 10,Goods exports - Maori authorities,By selected commodity (HS code),All other,Maori authorities,Percent of total business type,76,2021
Table 10,Goods exports - Maori authorities,Total,Total,Maori authorities,Million Dollars,630,2017
Table 10,Goods exports - Maori authorities,Total,Total,Maori authorities,Million Dollars,694,2018
Table 10,Goods exports - Maori authorities,Total,Total,Maori authorities,Million Dollars,680,2019
Table 10,Goods exports - Maori authorities,Total,Total,Maori authorities,Million Dollars,697,2020
Table 10,Goods exports - Maori authorities,Total,Total,Maori authorities,Million Dollars,871,2021
Table 10,Goods exports - Maori authorities,Total,Total,Maori authorities,Percent of total business type,100,2021
Table 11,Goods exporting enterprises - Maori authorities,Annual 2017-2021,Maori authority,Number of exporting enterprises,Counts,12,2017
Table 11,Goods exporting enterprises - Maori authorities,Annual 2017-2021,Maori authority,Number of exporting enterprises,Counts,15,2018
Table 11,Goods exporting enterprises - Maori authorities,Annual 2017-2021,Maori authority,Number of exporting enterprises,Counts,15,2019
Table 11,Goods exporting enterprises - Maori authorities,Annual 2017-2021,Maori authority,Number of exporting enterprises,Counts,12,2020
Table 11,Goods exporting enterprises - Maori authorities,Annual 2017-2021,Maori authority,Number of exporting enterprises,Counts,12,2021
Table 12,Selected business activities,By business type,Maori authorities,Export sales,Percent,27,2017
Table 12,Selected business activities,By business type,Maori authorities,Export sales,Percent,27,2018
Table 12,Selected business activities,By business type,Maori authorities,Export sales,Percent,18,2019
Table 12,Selected business activities,By business type,Maori authorities,Export sales,Percent,36,2020
Table 12,Selected business activities,By business type,Maori authorities,Export sales,Percent,25,2021
Table 12,Selected business activities,By business type,Maori authorities,Tourism sales,Percent,27,2017
